Title,Score,ProgressChapter,ProgressVolumes,Type
Sungyeolhan Joe,0,109,0,MANGA
Pet Keiyaku,0,1,0,MANGA
Yajirushi,0,6,1,MANGA
Bousou Ryman,0,7,1,MANGA
Power Play!,0,10,1,MANGA
Hana to Junketsu,0,5,1,MANGA
Harem Time,0,15,1,MANGA
Giri Giri Sisters,0,10,1,MANGA
Koakuma Kanojo,0,11,1,MANGA
Pornographer,0,7,1,MANGA
Mods,0,5,1,MANGA
Hellper,0,188,18,MANGA
Tokyo Ghoul,0,144,14,MANGA
Yakusoku no Neverland,0,181,20,MANGA
Kimetsu no Yaiba,0,207,23,MANGA
Oyasumi Punpun,0,147,13,MANGA
Koe no Katachi,0,64,7,MANGA
Naruto,0,700,72,MANGA
Tokyo Ghoul:re,0,181,16,MANGA
Bleach,0,705,74,MANGA
Death Note,0,108,12,MANGA
Hagane no Renkinjutsushi,0,116,27,MANGA
Fairy Tail,0,545,63,MANGA
Nanatsu no Taizai,0,364,41,MANGA
Shokugeki no Souma,0,324,36,MANGA
Nisekoi,0,240,25,MANGA
JoJo no Kimyou na Bouken: Steel Ball Run,0,95,24,MANGA
Deadman Wonderland,0,58,13,MANGA
JoJo no Kimyou na Bouken: Stone Ocean,0,158,17,MANGA
ReLife,0,222,15,MANGA
Akame ga Kill!,0,80,15,MANGA
20th Century Boys,0,249,22,MANGA
Ansatsu Kyoushitsu,0,187,21,MANGA
5-Toubun no Hanayome,0,122,14,MANGA
Uzumaki,0,20,3,MANGA
Gantz,0,383,37,MANGA
Monster,0,162,18,MANGA
Soul Eater,0,117,25,MANGA
Magi: The Labyrinth of Magic,0,369,37,MANGA
Tomo-chan wa Onnanoko!,0,953,8,MANGA
Bakuman.,0,176,20,MANGA
Onani Master Kurosawa,0,31,4,MANGA
Pandora Hearts,0,107,24,MANGA
Dorohedoro,0,191,23,MANGA
Kangoku Gakuen,0,278,28,MANGA
Aku no Hana,0,58,11,MANGA
Yamada-kun to 7-nin no Majo,0,246,28,MANGA
JoJo no Kimyou na Bouken: Ougon no Kaze,0,155,17,MANGA
Claymore,0,159,27,MANGA
JoJo no Kimyou na Bouken: Phantom Blood,0,44,5,MANGA
Ao Haru Ride,0,53,13,MANGA
orange,0,31,6,MANGA
Domestic na Kanojo,0,276,28,MANGA
Mob Psycho 100,0,101,16,MANGA
The Breaker,0,72,10,MANGA
All You Need Is Kill,0,17,2,MANGA
Kami nomi zo Shiru Sekai,0,271,26,MANGA
Great Teacher Onizuka,0,201,25,MANGA
Dragon Ball,0,520,42,MANGA
Yagate Kimi ni Naru,0,50,8,MANGA
Blame!,0,66,10,MANGA
Solanin,0,29,2,MANGA
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,0,174,18,MANGA
Slam Dunk,0,276,31,MANGA
Watashi-tachi no Shiawase na Jikan,0,8,1,MANGA
JoJo no Kimyou na Bouken: Sentou Chouryuu,0,69,7,MANGA
Katekyo Hitman Reborn!,0,411,42,MANGA
Citrus,0,50,10,MANGA
Akira,0,120,6,MANGA
Utsuro no Hako to Zero no Maria,0,254,7,NOVEL
Pluto,0,65,8,MANGA
Beelzebub,0,250,28,MANGA
I Am a Hero,0,264,22,MANGA
Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.,0,18,3,MANGA
Kaichou wa Maid-sama!,0,85,18,MANGA
JoJo no Kimyou na Bouken: Stardust Crusaders,0,152,16,MANGA
Masamune-kun no Revenge,0,61,10,MANGA
Hurejasik,0,94,5,MANGA
Mirai Nikki,0,59,12,MANGA
Nozoki Ana,0,117,13,MANGA
Gintama,0,709,77,MANGA
Boku Dake ga Inai Machi,0,49,9,MANGA
Taiyou no Ie,0,53,13,MANGA
Tonari no Kaibutsu-kun,0,69,13,MANGA
Noblesse,0,544,0,MANGA
Liar Game,0,201,19,MANGA
Kiseijuu,0,64,10,MANGA
Sankarea,0,59,11,MANGA
Shin Seiki Evangelion,0,97,14,MANGA
Fruits Basket,0,137,23,MANGA
Girls of the Wild's,0,260,0,MANGA
Last Game,0,56,11,MANGA
Death Note: Tokubetsu Yomikiri,0,1,0,ONE_SHOT
Medaka Box,0,192,22,MANGA
Kimi wa Midara na Boku no Joou,0,13,2,MANGA
Psyren,0,151,16,MANGA
Gunnm,0,53,9,MANGA
Yokohama Kaidashi Kikou,0,142,14,MANGA
Homunculus,0,166,15,MANGA
Sun-Ken Rock,0,171,25,MANGA
Btooom!,0,125,27,MANGA
Hoshi no Samidare,0,65,10,MANGA
Kimi ni Todoke,0,125,30,MANGA
The Breaker: New Waves,0,204,20,MANGA
Doubt,0,21,4,MANGA
Rurouni Kenshin: Meiji Kenkaku Romantan,0,259,28,MANGA
Ouran Koukou Host Club,0,87,18,MANGA
Koe no Katachi,0,1,0,ONE_SHOT
Sabishisugite Lesbian Fuzoku Ni Ikimashita Report,0,6,1,MANGA
Hirunaka no Ryuusei,0,78,12,MANGA
Rosario to Vampire,0,40,10,MANGA
Umibe no Onnanoko,0,20,2,MANGA
Dengeki Daisy,0,80,16,MANGA
Minamoto-kun Monogatari,0,358,16,MANGA
To LOVE-Ru,0,162,18,MANGA
Elfen Lied,0,113,12,MANGA
Shigatsu wa Kimi no Uso,0,44,11,MANGA
Mahou Sensei Negima!,0,355,38,MANGA
Kuroko no Basket,0,276,30,MANGA
Yuragi-sou no Yuuna-san,0,209,24,MANGA
Blood Lad,0,85,17,MANGA
Annarasumanara,0,28,3,MANGA
Fire Punch,0,83,8,MANGA
Velvet Kiss,0,32,4,MANGA
Kimi no Iru Machi,0,261,27,MANGA
Gakkou Gurashi!,0,78,12,MANGA
Air Gear,0,358,37,MANGA
Boku Girl,0,107,11,MANGA
Yahari Ore no Seishun Love Come wa Machigatteiru.,0,128,17,NOVEL
Shoujo Shuumatsu Ryokou,0,47,6,MANGA
Mugen no Juunin,0,206,30,MANGA
Chikan Otoko,0,23,0,MANGA
Mushishi,0,50,10,MANGA
21st Century Boys,0,16,2,MANGA
Battle Royale,0,119,15,MANGA
Hibi Chouchou,0,83,12,MANGA
Holyland,0,182,18,MANGA
Kami-sama ga Uso wo Tsuku.,0,5,1,MANGA
Gal Gohan,0,69,10,MANGA
Kokou no Hito,0,170,17,MANGA
Inuyashiki,0,85,10,MANGA
Spirit Circle,0,45,6,MANGA
Kuzu no Honkai,0,53,8,MANGA
Omoide Emanon,0,9,1,MANGA
Shaman King,0,285,32,MANGA
Shimanami Tasogare,0,23,4,MANGA
Happiness,0,50,10,MANGA
Boku wa Mari no Naka,0,80,9,MANGA
Eden no Ori,0,185,21,MANGA
Eyeshield 21,0,333,37,MANGA
xxxHolic,0,213,19,MANGA
Yuu☆Yuu☆Hakusho,0,175,19,MANGA
Tsubasa: RESERVoir CHRoNiCLE,0,233,28,MANGA
Cardcaptor Sakura,0,50,12,MANGA
Shijou Saikyou no Deshi Kenichi,0,584,61,MANGA
Hellsing,0,92,10,MANGA
Gyo: Ugomeku Bukimi,0,21,2,MANGA
Kishuku Gakkou no Juliet,0,120,16,MANGA
Monogatari Series: First Season,0,107,6,NOVEL
Bonnouji,0,36,3,MANGA
To LOVE-Ru Darkness,0,100,18,MANGA
Eden: It's an Endless World!,0,127,18,MANGA
Devilman,0,53,5,MANGA
Kaze no Tani no Nausicaä,0,59,7,MANGA
Ookami Shounen wa Kyou mo Uso wo Kasaneru,0,34,5,MANGA
Jitsu wa Watashi wa,0,196,22,MANGA
Tomie,0,20,3,MANGA
NHK ni Youkoso!,0,40,8,MANGA
Fairy Tail Zerø,0,13,1,MANGA
Kamisama Hajimemashita,0,154,25,MANGA
Naruto Gaiden: Nanadaime Hokage to Akairo no Hanatsuzuki,0,10,1,MANGA
Übel Blatt,0,172,24,MANGA
Rosario to Vampire: Season II,0,67,14,MANGA
Sukitte Ii na yo.,0,73,18,MANGA
Nijigahara Holograph,0,15,1,MANGA
Girl Friends,0,35,5,MANGA
Nana to Kaoru,0,156,18,MANGA
Fuuka,0,204,20,MANGA
The Voynich Hotel,0,68,3,MANGA
Angel Densetsu,0,89,15,MANGA
Love Hina,0,123,14,MANGA
Planetes,0,27,4,MANGA
GE: Good Ending,0,159,16,MANGA
Tasogare Otome x Amnesia,0,54,10,MANGA
Another,0,20,4,MANGA
Mousou Telepathy,0,724,7,MANGA
Dungeon ni Deai wo Motomeru no wa Machigatteiru no Darou ka,0,89,10,MANGA
Beck,0,103,34,MANGA
Billy Bat,0,165,20,MANGA
Usagi Drop,0,62,10,MANGA
Akumetsu,0,162,18,MANGA
Chobits,0,88,8,MANGA
Tsurezure Children,0,212,12,MANGA
Vampire Knight,0,93,19,MANGA
Toriko,0,396,43,MANGA
Azumanga Daioh,0,69,4,MANGA
Senryuu Shoujo,0,173,13,MANGA
Kengan Ashura,0,256,27,MANGA
Sundome,0,76,8,MANGA
Sakamoto desu ga?,0,24,4,MANGA
Kono Subarashii Sekai ni Shukufuku wo!,0,127,17,NOVEL
Bokura wa Minna Kawaisou,0,94,11,MANGA
Kase-san Series,0,24,5,MANGA
Watashi ni xx Shinasai!,0,83,19,MANGA
Ashita no Joe,0,171,20,MANGA
Ibitsu,0,15,2,MANGA
Gin no Saji,0,131,15,MANGA
Darling in the Franxx,0,60,8,MANGA
Kagerou Days,0,70,13,MANGA
Real Account,0,182,24,MANGA
Barakamon,0,139,18,MANGA
Ookami Shoujo to Kuro Ouji,0,67,16,MANGA
Mahou Shoujo of the End,0,64,16,MANGA
Sora no Otoshimono,0,77,20,MANGA
Tenkuu Shinpan,0,258,21,MANGA
Suzuka,0,166,18,MANGA
InuYasha,0,558,56,MANGA
Groove Adventure Rave,0,298,35,MANGA
Hiyokoi,0,69,14,MANGA
Love So Life,0,111,17,MANGA
Franken Fran,0,69,8,MANGA
Seven Days,0,14,2,MANGA
Genshiken,0,55,9,MANGA
Shingeki no Kyojin Gaiden: Kuinaki Sentaku,0,8,2,MANGA
Tokidoki,0,1,0,ONE_SHOT
ARIA,0,67,12,MANGA
Kimi no Na wa.,0,9,3,MANGA
Yankee-kun to Megane-chan,0,219,23,MANGA
Kimi no Suizou wo Tabetai,0,10,2,MANGA
Strobe Edge,0,42,10,MANGA
No.6,0,35,9,MANGA
Gokukoku no Brynhildr,0,181,18,MANGA
Kuzumi-kun, Kuuki Yometemasu ka?,0,56,8,MANGA
Ao no Flag,0,54,8,MANGA
Maga-Tsuki,0,68,13,MANGA
Bishoujo Senshi Sailor Moon,0,65,18,MANGA
Lovely★Complex,0,68,17,MANGA
Watashi ga Motete Dousunda,0,60,14,MANGA
Nazo no Kanojo X,0,98,12,MANGA
Shachiku Succubus no Hanashi,0,23,1,MANGA
Apocalypse no Toride,0,49,10,MANGA
Kozure Ookami,0,142,28,MANGA
Komi-san wa Komyushou desu.,0,1,0,ONE_SHOT
Shingetsutan Tsukihime,0,75,10,MANGA
Hikaru no Go,0,197,23,MANGA
Mahou Shoujo Madoka★Magica,0,12,3,MANGA
Ookami to Koushinryou,0,108,16,MANGA
Innocent,0,99,9,MANGA
Ran to Haiiro no Sekai,0,52,7,MANGA
Subarashii Sekai,0,19,2,MANGA
Nichijou,0,210,10,MANGA
Zetman,0,226,20,MANGA
Nurarihyon no Mago,0,218,25,MANGA
Mx0,0,99,10,MANGA
Rakudai Kishi no Cavalry,0,48,11,MANGA
Bloody Monday,0,96,11,MANGA
Oretama,0,41,6,MANGA
Denpa Kyoushi,0,247,26,MANGA
Magi: Sinbad no Bouken,0,182,18,MANGA
Kuragehime,0,93,17,MANGA
Koukou Debut,0,62,15,MANGA
Sidonia no Kishi,0,78,15,MANGA
Ichigo 100%,0,167,19,MANGA
Orange Marmalade,0,120,8,MANGA
Kanojo ni Naru Hi,0,20,4,MANGA
Ousama Game,0,25,5,MANGA
Bitter Virgin,0,32,4,MANGA
Ranma ½,0,407,38,MANGA
Dragons Rioting,0,50,9,MANGA
Hourou Musuko,0,123,15,MANGA
Nijiiro Days,0,80,16,MANGA
Banana Fish,0,110,19,MANGA
Dungeon Seeker,0,33,3,MANGA
Hokuto no Ken,0,245,27,MANGA
Boku no Kanojo wa Saikou desu!,0,42,6,MANGA
K-On!,0,57,4,MANGA
Koi wa Ameagari no You ni,0,83,10,MANGA
Mahou Shoujo Site,0,141,16,MANGA
Tsubaki-chou Lonely Planet,0,85,14,MANGA
ib: Instant Bullet,0,27,5,MANGA
Kakukaku Shikajika,0,34,5,MANGA
Bokurano,0,66,11,MANGA
Toaru Majutsu no Index,0,133,22,NOVEL
Judge,0,32,6,MANGA
Sayonara Zetsubou Sensei,0,301,30,MANGA
Yu☆Gi☆Oh!,0,343,38,MANGA
Akame ga Kill! Zero,0,60,10,MANGA
Black Cat,0,187,20,MANGA
Shingeki no Kyojin: Before the Fall,0,73,17,MANGA
Koukaku Kidoutai,0,11,1,MANGA
Imawa no Kuni no Alice,0,87,18,MANGA
Kamisama no Iutoori,0,21,5,MANGA
Ane Doki!,0,26,3,MANGA
Prunus Girl,0,43,6,MANGA
Hideout,0,9,1,MANGA
Samurai 8: Hachimaruden,0,43,5,MANGA
Code:Breaker,0,230,26,MANGA
Sanctuary,0,105,12,MANGA
SKET Dance,0,288,32,MANGA
Saiki Kusuo no Ψ-nan,0,290,26,MANGA
Half & Half,0,13,2,MANGA
Ana Satsujin,0,136,8,MANGA
Seishun Buta Yarou wa Bunny Girl-senpai no Yume wo Minai,0,20,2,MANGA
Hayate no Gotoku!,0,570,52,MANGA
Saotome-Senshu, Hitakakusu,0,124,10,MANGA
Bokura ga Ita,0,70,16,MANGA
Hatsukoi Zombie,0,167,17,MANGA
Defense Devil,0,100,10,MANGA
Ore Monogatari!!,0,53,13,MANGA
Beast Master,0,9,2,MANGA
Hare-Kon.,0,187,19,MANGA
Shin Angyo Onshi,0,75,17,MANGA
Byousoku 5 Centimeter,0,11,2,MANGA
Konjiki no Gash!!,0,323,33,MANGA
Kareshi Kanojo no Jijou,0,103,21,MANGA
Renai Boukun,0,61,14,MANGA
Hotel,0,5,1,MANGA
Tanaka-kun wa Itsumo Kedaruge,0,140,13,MANGA
3D Kanojo: Real Girl,0,48,12,MANGA
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,0,0,14,NOVEL
Sekirei,0,187,18,MANGA
Helck,0,111,12,MANGA
Dagashi Kashi,0,186,11,MANGA
Tonari no Kashiwagi-san,0,84,12,MANGA
Shi ga Futari wo Wakatsu Made,0,217,26,MANGA
Tokyo Ghoul: Jack,0,7,1,MANGA
Oresama Teacher,0,168,29,MANGA
Sakamichi no Apollon,0,45,9,MANGA
Reimei no Arcana,0,65,13,MANGA
Wagatsuma-san wa Ore no Yome,0,111,13,MANGA
Criminale!,0,35,4,MANGA
Happy Sugar Life,0,53,10,MANGA
Jisatsutou,0,168,17,MANGA
Woori,0,117,5,MANGA
Ga-Rei,0,52,12,MANGA
Death Note C-Kira-hen,0,1,0,ONE_SHOT
High School DxD,0,168,25,NOVEL
Love Stage!!,0,40,7,MANGA
My Girl,0,44,5,MANGA
Baby Steps,0,464,47,MANGA
Aho-Girl,0,155,12,MANGA
One Outs,0,175,20,MANGA
L♥DK,0,98,24,MANGA
Inu x Boku SS,0,49,11,MANGA
Doukyuusei,0,6,1,MANGA
Unbalance x Unbalance,0,82,10,MANGA
Yasashii Sekai no Tsukurikata,0,36,6,MANGA
Shamo,0,334,34,MANGA
Youkai Shoujo: Monsuga,0,146,14,MANGA
Teppuu,0,35,8,MANGA
Hana to Akuma,0,58,10,MANGA
Gamaran,0,194,22,MANGA
Emma,0,72,10,MANGA
Bocchi na Bokura no Renai Jijou,0,14,2,MANGA
Okusama ga Seito Kaichou!,0,70,13,MANGA
Amaama to Inazuma,0,64,12,MANGA
Trigun,0,22,3,MANGA
Danshi Koukousei no Nichijou,0,132,7,MANGA
Ore ga Ojousama Gakkou ni "Shomin Sample" Toshite Rachirareta Ken,0,81,15,MANGA
Again!!,0,136,12,MANGA
Biomega,0,42,6,MANGA
I''s,0,143,15,MANGA
Kekkaishi,0,345,35,MANGA
Mayo Chiki!,0,39,7,MANGA
Fate/Zero,0,18,4,NOVEL
Sekai no Owari to Yoake Mae,0,13,1,MANGA
Black Torch,0,19,5,MANGA
Re:Zero kara Hajimeru Isekai Seikatsu: Dai-1 Shou - Outo no Ichinichi-hen,0,11,2,MANGA
Saikyou Densetsu Kurosawa,0,90,11,MANGA
Feng Shen Ji,0,38,0,MANGA
Zaregoto Series,0,72,9,NOVEL
Goth,0,5,1,MANGA
Fudatsuki no Kyouko-chan,0,37,7,MANGA
Yugami-kun ni wa Tomodachi ga Inai,0,81,16,MANGA
Nineteen, Twenty-One,0,21,2,MANGA
Sasameki Koto,0,55,9,MANGA
666 Satan,0,76,19,MANGA
Kagami no Kuni no Harisugawa,0,29,3,MANGA
AQUA,0,10,2,MANGA
Isekai de "Kuro no Iyashi Te" tte Yobareteimasu,0,49,7,MANGA
Kasane,0,126,14,MANGA
Hoshino, Me wo Tsubutte.,0,106,13,MANGA
Gakuen Alice,0,180,30,MANGA
Ojojojo,0,64,4,MANGA
Yandere Kanojo,0,75,17,MANGA
Karin,0,58,14,MANGA
Isshuukan Friends.,0,41,7,MANGA
Machida-kun no Sekai,0,28,7,MANGA
High Score Girl,0,63,10,MANGA
Himouto! Umaru-chan,0,229,12,MANGA
Koroshiya 1,0,114,10,MANGA
Nickelodeon,0,39,3,MANGA
Black Bird,0,84,18,MANGA
Kodomo no Jikan,0,93,13,MANGA
Durarara!!,0,89,13,NOVEL
Toradora!,0,62,10,NOVEL
Umineko no Naku Koro ni Episode 1: Legend of the Golden Witch,0,23,4,MANGA
Netsuzou Trap,0,26,6,MANGA
Kyou, Koi wo Hajimemasu,0,99,15,MANGA
Green Blood,0,49,5,MANGA
Fujimura-kun Mates,0,97,8,MANGA
BURN THE WITCH,0,1,0,ONE_SHOT
Shugo Chara!,0,55,12,MANGA
Dance in the Vampire Bund,0,82,14,MANGA
Hachimitsu to Clover,0,64,10,MANGA
Paradise Kiss,0,48,5,MANGA
Sengoku Youko,0,100,17,MANGA
Arachnid,0,73,14,MANGA
Hikari no Machi,0,9,1,MANGA
Alive: Saishuu Shinkateki Shounen,0,83,21,MANGA
Umibe no Étranger,0,4,1,MANGA
Ningen Shikkaku,0,12,3,MANGA
Konya wa Tsuki ga Kirei desu ga, Toriaezu Shine,0,35,10,MANGA
Tegami Bachi,0,100,20,MANGA
Himegoto: Juukyuusai no Seifuku,0,100,8,MANGA
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,0,25,5,NOVEL
Mangaka-san to Assistant-san to,0,160,10,MANGA
Boku no Kanojo ga Majime Sugiru Shoujo Bitch na Ken,0,87,8,MANGA
Binbougami ga!,0,82,16,MANGA
Sword Art Online: Progressive,0,47,7,MANGA
Takane to Hana,0,0,0,MANGA
Kangoku Jikken,0,80,10,MANGA
Taishou Otome Otogibanashi,0,42,5,MANGA
Urami Koi, Koi, Urami Koi.,0,62,12,MANGA
High School DxD,0,78,11,MANGA
Special A,0,104,17,MANGA
Nozo x Kimi,0,63,8,MANGA
Aki-Sora,0,30,6,MANGA
Origin,0,87,10,MANGA
Daiya no A,0,418,47,MANGA
School Rumble,0,345,22,MANGA
Rikudou,0,240,23,MANGA
Kanata no Astra,0,49,5,MANGA
Aoi Hana,0,52,8,MANGA
Tenjou Tenge,0,136,22,MANGA
Kuro,0,210,3,MANGA
Hoshi no Koe,0,10,1,MANGA
Koisome Momiji,0,33,4,MANGA
Wolf Guy: Ookami no Monshou,0,117,12,MANGA
Dame na Watashi ni Koishite Kudasai,0,43,10,MANGA
Gunslinger Girl,0,100,15,MANGA
Kyou no Cerberus,0,57,12,MANGA
Jigokusei Remina,0,7,1,MANGA
Full Moon wo Sagashite,0,42,7,MANGA
Mahouka Koukou no Rettousei,0,22,4,MANGA
Koko ni Iru yo!,0,21,5,MANGA
Higurashi no Naku Koro ni Onikakushi-hen,0,7,2,MANGA
Hana nomi zo Shiru,0,12,3,MANGA
Hozuki-san Chi no Aneki,0,32,4,MANGA
Steins;Gate,0,23,3,MANGA
Hidamari ga Kikoeru,0,6,1,MANGA
Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken,0,7,1,NOVEL
Opus,0,19,2,MANGA
Yesterday wo Utatte,0,113,11,MANGA
Siscon Ani to Brocon Imouto ga Shoujiki ni Nattara,0,48,4,MANGA
Cat Street,0,37,8,MANGA
Shigurui,0,84,15,MANGA
Tokyo ESP,0,77,16,MANGA
Rainbow: Nisha Rokubou no Shichinin,0,235,22,MANGA
Shishunki Bitter Change,0,64,9,MANGA
Jigokuren: Love in the Hell,0,18,3,MANGA
Donten ni Warau,0,29,6,MANGA
Pupa,0,34,5,MANGA
Black Paradox,0,8,1,MANGA
Gun x Clover,0,60,12,MANGA
Abara,0,13,2,MANGA
Itoshi no Karin,0,20,3,MANGA
Fujiyama-san wa Shishunki,0,67,8,MANGA
Zetsuen no Tempest,0,50,10,MANGA
Freesia,0,84,12,MANGA
Kuroko no Basket: Extra Game,0,9,2,MANGA
1/2 Prince,0,82,16,MANGA
Osananajimi ni Najimitai,0,24,3,MANGA
Dragon Head,0,89,10,MANGA
Yoohog-ui Gisul,0,36,7,MANGA
Dolly Kill Kill,0,155,11,MANGA
GUNNM: Last Order,0,124,19,MANGA
Suki x Suki,0,23,2,MANGA
7SEEDS,0,178,35,MANGA
Cheese in the Trap Season 1,0,47,6,MANGA
Chio-chan no Tsuugakuro,0,53,9,MANGA
Area D: Inou Ryouiki,0,137,14,MANGA
Adolf ni Tsugu,0,36,5,MANGA
Black Jack,0,243,17,MANGA
RWBY,0,15,1,MANGA
Litchi☆Hikari Club,0,9,1,MANGA
Violet Evergarden,0,13,2,NOVEL
Reiraku,0,8,1,MANGA
FLCL,0,15,2,MANGA
Chrno Crusade,0,59,8,MANGA
Kiss Yori mo Hayaku,0,58,12,MANGA
Soul Eater Not!,0,41,5,MANGA
Fukushuu Kyoushitsu,0,25,7,MANGA
07-Ghost,0,100,17,MANGA
Tajuu Jinkaku Tantei Psycho,0,155,24,MANGA
Umi no Misaki,0,127,15,MANGA
Ganbare! Nakamura-kun!!,0,11,1,MANGA
K-On! College,0,14,1,MANGA
Futari no Renai Shoka,0,14,2,MANGA
Monogatari Series: Second Season,0,198,6,NOVEL
Nodame Cantabile,0,146,25,MANGA
